11500 10671
3120 9082 14360
1968 10579 13153
9416 4358 21649
2064 1755 21716
4591 784 6470
9126 7960 3273
3676 10420 16745
11322 2118 21609
4729 11035 14696
7479 9421 17621
684 1328 16590
5326 5411 8019
7057 415 3103
4973 8880 12222
9643 9771 2113
335 6177 21201
7315 5130 19405
8443 1473 18942
5053 3544 22851
10483 6933 11788
7058 2149 15710
3895 8557 1771
620 6169 6024
5244 3661 11974
2481 9341 8636
5780 8387 17341
3226 2580 18590
10749 784 2875
3082 11366 18280
343 4211 8602
2399 1382 15576
216 6227 9780
10861 9167 5909
5140 10178 4521
1870 6873 12433
10444 7055 9051
433 9706 5104
11138 296 1581
4917 11118 7317
6151 3646 2782
1068 5557 3110
3465 487 17486
9991 4169 5840
6692 4073 14402
6927 7106 15784
11117 8632 18488
9284 8114 9177
2343 8149 14472
6798 6872 6745
8974 10467 9603
5091 11216 6636
7504 3306 17066
8425 5358 5473
1265 5948 19783
8264 3258 18103
3751 4645 16551
8059 4454 2844
4778 11490 468
1053 8835 7877
881 11347 21528
8969 1506 14395
10562 8506 22352
945 3598 6554
4450 7369 16039
399 7175 9484
3306 9487 17062
6977 10878 19879
8139 8314 12723
921 2441 20608
6142 2495 12787
2382 6084 9433
10091 8548 12850
3268 10730 17729
5563 10133 8179
6014 7194 686
1440 6745 3885
11104 2987 13101
10073 1935 10289
9049 3190 11482
2176 1605 10429
1778 3555 14378
6144 1837 3989
911 1141 1885
10485 5933 13650
2455 11339 6454
3791 1616 12795
1992 769 8425
1238 10821 18144
4168 1123 12738
8771 3152 7066
7508 3357 1791
10481 10289 4901
9498 6726 13863
360 5118 15624
4663 2050 19194
427 11052 3679
9156 9621 19628
2284 10355 15458
5995 9412 4191
4497 10568 233
1569 1114 19997
9806 4176 14670
7588 3480 3139
1831 11205 20720
5327 1960 2028
5228 3733 10675
2036 2845 3167
8013 10346 7009
94 5990 14318
8999 560 11009
9851 7754 5105
11142 10308 2215
5911 7482 12078
10881 3874 5449
2040 7383 15103
8381 637 6403
1338 4758 13090
9417 9774 20608
8610 2887 1598
10070 4411 22977
7342 9206 13344
8790 5707 10871
5006 8735 9083
7833 10596 16104
11481 7099 13567
6611 11309 1771
3109 11340 11439
10680 1003 12022
6688 4658 15539
6132 7504 12035
10984 2731 18702
4390 9227 5917
11082 10707 3459
7113 3234 19854
9667 9551 14884
5423 10673 2065
4818 8787 2736
1517 9048 10992
